Type	Var1	Var2	pPerm	pPearson	rPearson
Outlier:HAllA	alcohol_catabolic_process	transcription_initiation	0.0	0.440323937612	0.0510142720611
Outlier:HAllA	mesalamine	folic_acid_and_derivative_biosynthetic_process	0.0	0.229736665941	0.0793282068059
Outlier:Both	isoprenoid_metabolic_process	serine_family_amino_acid_metabolic_process	0.0	1.54359299999e-61	0.835721562178
Outlier:HAllA	cellular_di___tri_valent_inorganic_cation_homeostasis	regulation_of_anatomical_structure_morphogenesis	0.0	0.375793891881	0.058540565709
Outlier:Both	sulfur_metabolic_process	thiamin_metabolic_process	0.0	3.74906946441e-63	0.841455822374
Outlier:Both	biological_process	monovalent_inorganic_cation_transport	0.0	2.83515861164e-81	0.892808065735
Outlier:None	cellular_biogenic_amine_catabolic_process	macromolecule_metabolic_process	0.05	0.238624163858	0.0778397424538
Outlier:Both	carboxylic_acid_biosynthetic_process	chorismate_metabolic_process	0.0	7.66460777034e-116	0.948000382499
Outlier:Both	peptidoglycan_metabolic_process	translation	0.0	1.55722519789e-90	0.911893270081
Outlier:HAllA	ciliary_or_flagellar_motility	mitochondrial_translation	0.0	0.622506324233	-0.0325590868073
Outlier:HAllA	cytokinetic_process	response_to_heat	0.0	0.889053630566	0.00922841149031
Outlier:Both	cell_wall_macromolecule_biosynthetic_process	cellular_carbohydrate_biosynthetic_process	0.0	1.62970093027e-66	0.852702698209
Outlier:Both	NAD_metabolic_process	indole_derivative_metabolic_process	0.0	5.43173694848e-83	0.896653542396
Outlier:HAllA	locomotory_behavior	monosaccharide_transport	0.0	0.807474133586	0.0161197559722
Outlier:HAllA	Mo_molybdopterin_cofactor_metabolic_process	purine_ribonucleoside_biosynthetic_process	0.0	0.249601565713	-0.0760539529686
Outlier:Both	monosaccharide_biosynthetic_process	pantothenate_metabolic_process	0.0	2.26239560714e-90	0.911591688637
Outlier:HAllA	Mo_molybdopterin_cofactor_biosynthetic_process	secretion	0.0	0.664398666522	0.0286949009818
Outlier:Both	hexose_metabolic_process	pyruvate_metabolic_process	0.0	1.42798070932e-79	0.888847019331
Outlier:Both	cellular_nitrogen_compound_biosynthetic_process	tRNA_aminoacylation_for_protein_translation	0.0	1.06071058168e-71	0.868384984531
Outlier:Both	cellular_component_assembly	lipopolysaccharide_metabolic_process	0.0	1.33915645686e-64	0.846408399524
Outlier:Pearson	dicarboxylic_acid_metabolic_process	phosphorus_metabolic_process	0.06	1.79946249223e-77	0.88374305278
Outlier:None	mesalamine	amine_transport	0.25	0.454131961724	-0.0494888724049
Outlier:HAllA	aromatic_compound_biosynthetic_process	secretion_by_cell	0.0	0.214393926065	0.0819967307663
Outlier:HAllA	monosaccharide_transport	nucleoside_monophosphate_metabolic_process	0.0	0.508045377593	-0.0437653342626
Outlier:Both	cellular_amine_metabolic_process	cellular_carbohydrate_metabolic_process	0.0	7.30376773586e-97	0.922856874161
Outlier:Both	cell_wall_organization_or_biogenesis	ribonucleoside_metabolic_process	0.0	2.32692231528e-116	0.948553288187
Outlier:HAllA	response_to_heat	ubiquinone_metabolic_process	0.0	0.32771743594	0.0646785837166
Outlier:Both	glutamine_metabolic_process	ribonucleotide_metabolic_process	0.0	5.40134812088e-76	0.880003459459
Outlier:HAllA	carboxylic_acid_metabolic_process	locomotory_behavior	0.0	0.797893251422	-0.0169391523905
Outlier:Both	cellular_biogenic_amine_biosynthetic_process	organophosphate_metabolic_process	0.0	8.61667665649e-84	0.898393561908
Outlier:HAllA	carbohydrate_transport	heterocycle_catabolic_process	0.0	0.765329997747	-0.0197443257865
Outlier:None	antibiotics	vitamin_metabolic_process	0.52	0.824020835483	0.0147103052433
